id,name,images,genres,url
3qNVuliS40BLgXGxhdBdqu,TAEYEON,https://i.scdn.co/image/ab6761610000e5eb6b77989b3299ed402297d859,['k-pop'],https://open.spotify.com/artist/3qNVuliS40BLgXGxhdBdqu
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb9e3acf1eaf3b8846e836f441,['pop'],https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,https://i.scdn.co/image/ab6761610000e5eb44a1749aabb0a184657d877d,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM
51Blml2LZPmy7TTiAg47vQ,U2,https://i.scdn.co/image/ab6761610000e5eb4ecf08103fb2de53f1aabc39,"['irish rock', 'permanent wave', 'rock']",https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ
0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,https://i.scdn.co/image/ab6761610000e5eb38ebe9fa96072db91419917b,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/0Sadg1vgvaPqGTOjxu0N6c
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,https://i.scdn.co/image/143c01f407ed64a4b3bcbc92d24c05ef80981251,"['irish rock', 'pop rock', 'rock']",https://open.spotify.com/artist/7t0rwkOPGlDPEhaOcVtOt9
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,https://i.scdn.co/image/ab6761610000e5eb87723cc3c7164c007c569244,"['k-indie', 'k-pop', 'korean pop']",https://open.spotify.com/artist/6dhfy4ByARPJdPtMyrUYJK
48bKH1ugFBhERC1rdojP9d,Dewa 19,https://i.scdn.co/image/ab6761610000e5eba0911d941025add1a0bb8f39,"['classic indonesian rock', 'indonesian indie', 'indonesian pop', 'indonesian pop rock', 'indonesian rock']",https://open.spotify.com/artist/48bKH1ugFBhERC1rdojP9d
2XMxWKPKCxoLkSdpCViCnr,Perfume,https://i.scdn.co/image/ab6761610000e5ebc5671d9e694cd51434627ec6,"['bitpop', 'j-idol', 'j-pop', 'j-pop girl group', 'japanese electropop', 'shibuya-kei']",https://open.spotify.com/artist/2XMxWKPKCxoLkSdpCViCnr
