trackid,trackurl,artwork,title,artist
4ytyLpIwUXbdFsNOvgNnmP,https://open.spotify.com/track/4ytyLpIwUXbdFsNOvgNnmP,https://i.scdn.co/image/ab67616d0000b2737de8f56a39ec67a091457d04,Four Seasons,TAEYEON
2izlCxatn0nR7SyRyrkUW1,https://open.spotify.com/track/2izlCxatn0nR7SyRyrkUW1,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Dear Me,TAEYEON
7zosXagdBaf6YKxQzqYkIB,https://open.spotify.com/track/7zosXagdBaf6YKxQzqYkIB,https://i.scdn.co/image/ab67616d0000b273293d78b4eb363c7a34b2a13d,Fermata,Girls' Generation-Oh!GG
5ZkITfPpcNPnyYGTibkO6m,https://open.spotify.com/track/5ZkITfPpcNPnyYGTibkO6m,https://i.scdn.co/image/ab67616d0000b273f531f18feaf3c28366ad52d4,I,TAEYEON
4eDYMnqwlK0j7yc1jMRUVS,https://open.spotify.com/track/4eDYMnqwlK0j7yc1jMRUVS,https://i.scdn.co/image/ab67616d0000b2738da57096b4f09bd7cc6e1954,Fine,TAEYEON
5xHSzEHkbQSc5n4ATBv1du,https://open.spotify.com/track/5xHSzEHkbQSc5n4ATBv1du,https://i.scdn.co/image/ab67616d0000b2738da57096b4f09bd7cc6e1954,Time Lapse,TAEYEON
76mOLcXOjOEhyY4mMF1l3r,https://open.spotify.com/track/76mOLcXOjOEhyY4mMF1l3r,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,seven,Taylor Swift
0BiJCg7FLwWGTYLEsnaHcz,https://open.spotify.com/track/0BiJCg7FLwWGTYLEsnaHcz,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Drawing Our Moments,TAEYEON
7hFt9Grmz9oJu94iAiLrWl,https://open.spotify.com/track/7hFt9Grmz9oJu94iAiLrWl,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Spark,TAEYEON
5Xe5xh276laGUDVNzqjiv4,https://open.spotify.com/track/5Xe5xh276laGUDVNzqjiv4,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Here I Am,TAEYEON
6WHclB3jCFHhNIZki1C1iY,https://open.spotify.com/track/6WHclB3jCFHhNIZki1C1iY,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Wine,TAEYEON
6wpGqhRvJGNNXwWlPmkMyO,https://open.spotify.com/track/6wpGqhRvJGNNXwWlPmkMyO,https://i.scdn.co/image/ab67616d0000b273b7bea3d01f04e6d0408d2afe,I Still Haven't Found What I'm Looking For,U2
07q0QVgO56EorrSGHC48y3,https://open.spotify.com/track/07q0QVgO56EorrSGHC48y3,https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022,I Was Made For Lovin' You,KISS
5HiSc2ZCGn8L3cH3qSwzBT,https://open.spotify.com/track/5HiSc2ZCGn8L3cH3qSwzBT,https://i.scdn.co/image/ab67616d0000b2733f30a062dafcdbc1a8fad842,러시안 룰렛 Russian Roulette,Red Velvet
1a0lsoM2VNStRUed1Ao1f2,https://open.spotify.com/track/1a0lsoM2VNStRUed1Ao1f2,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,My Tragedy,TAEYEON
3CYH422oy1cZNoo0GTG1TK,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,https://i.scdn.co/image/ab67616d0000b273df5022bdf1ac4bf52135c4be,Psycho,Red Velvet
7m6hLTClXRx8krcjM9le1d,https://open.spotify.com/track/7m6hLTClXRx8krcjM9le1d,https://i.scdn.co/image/ab67616d0000b2734458de593791485ff0ad5b87,Obstacles,Hannah Telle
3hUxzQpSfdDqwM3ZTFQY0K,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,august,Taylor Swift
5GKwq4sO5ZHKuWaDmdwMQc,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc,https://i.scdn.co/image/ab67616d0000b273b64001fa6292caefc7605550,Bad Boy,Red Velvet
5S4aYQAJOwJMAamANWlICO,https://open.spotify.com/track/5S4aYQAJOwJMAamANWlICO,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,exile (feat. Bon Iver),Taylor Swift
3R8iyJpmhI9ABDmTpetV2D,https://open.spotify.com/track/3R8iyJpmhI9ABDmTpetV2D,https://i.scdn.co/image/ab67616d0000b2737de8f56a39ec67a091457d04,Blue,TAEYEON
0ssPVeVjOXzMvfsekdNe4H,https://open.spotify.com/track/0ssPVeVjOXzMvfsekdNe4H,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Gravity,TAEYEON
1HVjqP22I8rGY1gyEqrEuy,https://open.spotify.com/track/1HVjqP22I8rGY1gyEqrEuy,https://i.scdn.co/image/ab67616d0000b273b4c6cba427ce87604af348df,Circus,TAEYEON
1C3PEP1tk73s00Stxb2N8Z,https://open.spotify.com/track/1C3PEP1tk73s00Stxb2N8Z,https://i.scdn.co/image/ab67616d0000b273635f46769d51708b67b5a008,I’ll Still Have Me,Cyn
4u7EnebtmKWzUH433cf5Qv,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0,Bohemian Rhapsody - Remastered 2011,Queen
71UON3eyYef8AB9gNWXcXM,https://open.spotify.com/track/71UON3eyYef8AB9gNWXcXM,https://i.scdn.co/image/ab67616d0000b27390cd7fa287e8beb86ac86e66,Find Me,TAEYEON
4pfrrhvplbJZAIsfosGWQP,https://open.spotify.com/track/4pfrrhvplbJZAIsfosGWQP,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,the 1,Taylor Swift
6nK2pIKFcRc5frrZKHgsiT,https://open.spotify.com/track/6nK2pIKFcRc5frrZKHgsiT,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,august,Taylor Swift
4jt0nLy4bVfePNXbGEdWbN,https://open.spotify.com/track/4jt0nLy4bVfePNXbGEdWbN,https://i.scdn.co/image/ab67616d0000b27399aea99e08f0a9f3d732da31,Intro,Yerin Baek
3PjMtNzwhDHqxoKudm6GvF,https://open.spotify.com/track/3PjMtNzwhDHqxoKudm6GvF,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a,She's Leaving Home - Remastered 2009,The Beatles
2IZZqH4K02UIYg5EohpNHF,https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF,https://i.scdn.co/image/ab67616d0000b273e2213d84fabb15100c425198,Zombie,The Cranberries
0YeDG5HnKnG7jpArkzsSPa,https://open.spotify.com/track/0YeDG5HnKnG7jpArkzsSPa,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,hoax,Taylor Swift
2ehRU518I0hYqMGQnk4lDY,https://open.spotify.com/track/2ehRU518I0hYqMGQnk4lDY,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,invisible string,Taylor Swift
6DrLROM5MG9bxWHeEG5elq,https://open.spotify.com/track/6DrLROM5MG9bxWHeEG5elq,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,illicit affairs,Taylor Swift
1EXa37LpSvi3OQ9UYQ28rD,https://open.spotify.com/track/1EXa37LpSvi3OQ9UYQ28rD,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,epiphany,Taylor Swift
3L2fAZ4UB8Wkp1wp9vbrom,https://open.spotify.com/track/3L2fAZ4UB8Wkp1wp9vbrom,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,永世のクレイドル,Yuko Suzuhana
0RP1kqoSPkVXsKiQNhMKzV,https://open.spotify.com/track/0RP1kqoSPkVXsKiQNhMKzV,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,mad woman,Taylor Swift
59FBFyeST1vqN8G41YgFS6,https://open.spotify.com/track/59FBFyeST1vqN8G41YgFS6,https://i.scdn.co/image/ab67616d0000b273bb2456c53306bc582b406462,SHAKE IT,SISTAR
7cm50Lw03k6VvRauJtkyTj,https://open.spotify.com/track/7cm50Lw03k6VvRauJtkyTj,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,this is me trying,Taylor Swift
2olxzvoFI9IpxqFeUv7WOX,https://open.spotify.com/track/2olxzvoFI9IpxqFeUv7WOX,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,the last great american dynasty,Taylor Swift
0WZhf0isd4av5qlFfKknC3,https://open.spotify.com/track/0WZhf0isd4av5qlFfKknC3,https://i.scdn.co/image/ab67616d0000b27399aea99e08f0a9f3d732da31,Square (2017),Yerin Baek
3IhtE4fkytdrtEfV34UzkD,https://open.spotify.com/track/3IhtE4fkytdrtEfV34UzkD,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,betty,Taylor Swift
0eFQWVz0qIxDOvhLpZ40P7,https://open.spotify.com/track/0eFQWVz0qIxDOvhLpZ40P7,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,the lakes - bonus track,Taylor Swift
0KRYCBwIpWYFNrXOmXbyUh,https://open.spotify.com/track/0KRYCBwIpWYFNrXOmXbyUh,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,cardigan,Taylor Swift
67QGnT1Vdfuuy4HkLTUVjj,https://open.spotify.com/track/67QGnT1Vdfuuy4HkLTUVjj,https://i.scdn.co/image/ab67616d0000b2738da57096b4f09bd7cc6e1954,11:11,TAEYEON
2I8YAEA1VmCuP1wkJHMpTw,https://open.spotify.com/track/2I8YAEA1VmCuP1wkJHMpTw,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,mirrorball,Taylor Swift
7nKQ5WAcjnG48knyLuo8gO,https://open.spotify.com/track/7nKQ5WAcjnG48knyLuo8gO,https://i.scdn.co/image/ab67616d0000b2738164cd1a2e03b7ca2db9ff5e,Red Flavor,Red Velvet
0DdbiN1gW1t4MU7tQ91eTW,https://open.spotify.com/track/0DdbiN1gW1t4MU7tQ91eTW,https://i.scdn.co/image/ab67616d0000b273b4c6cba427ce87604af348df,Baram X 3,TAEYEON
6JlI8Ay77m4nJvZTHvfT1J,https://open.spotify.com/track/6JlI8Ay77m4nJvZTHvfT1J,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,peace,Taylor Swift
