trackid,trackurl,artwork,title,artist
3L2fAZ4UB8Wkp1wp9vbrom,https://open.spotify.com/track/3L2fAZ4UB8Wkp1wp9vbrom,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,永世のクレイドル,Yuko Suzuhana
2Aq726y1hKsStf9Bmofxjs,https://open.spotify.com/track/2Aq726y1hKsStf9Bmofxjs,https://i.scdn.co/image/ab67616d0000b273b9f2e0006d0f77917eaf65db,道 〜to you all,aluto
3YkSdfSuX2DLnypkTpjzR4,https://open.spotify.com/track/3YkSdfSuX2DLnypkTpjzR4,https://i.scdn.co/image/ab67616d0000b2731762c8f3fcaa6b4a95e57235,Heaven's Door ~陽のあたる場所~,Chise Kanna
6lzc0Al0zfZOIFsFvBS1ki,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,State Of Grace (Taylor's Version),Taylor Swift
1Lx23UMs3xS1hEZMr4VPC7,https://open.spotify.com/track/1Lx23UMs3xS1hEZMr4VPC7,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,戦火の灯火,Yuko Suzuhana
1S9j6hXnb771Xxg75wvNUZ,https://open.spotify.com/track/1S9j6hXnb771Xxg75wvNUZ,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,step forward,Yuko Suzuhana
2RnHcbIhWU0wEfU8xcL9Lo,https://open.spotify.com/track/2RnHcbIhWU0wEfU8xcL9Lo,https://i.scdn.co/image/ab67616d0000b2731423c6e66f8c0875482c747f,Cage <NTv>,SawanoHiroyuki[nZk]:Tielle
0MKLofhbVJZmW4c7jdYaTt,https://open.spotify.com/track/0MKLofhbVJZmW4c7jdYaTt,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,雪時計,Yuko Suzuhana
7nWt3aYXagw7nmVpRgcq4u,https://open.spotify.com/track/7nWt3aYXagw7nmVpRgcq4u,https://i.scdn.co/image/ab67616d0000b273efd5124f95524b047ff71be8,Another One Bites The Dust - Live,Queen
2IhiGrLgujYjSPhUzt5UZz,https://open.spotify.com/track/2IhiGrLgujYjSPhUzt5UZz,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,Remains,Yuko Suzuhana
0LyZqtPCfNVG0l6C9gFqnf,https://open.spotify.com/track/0LyZqtPCfNVG0l6C9gFqnf,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,背中合わせ,Yuko Suzuhana
1gVgkQFOKa8Wc1HYsJtPdH,https://open.spotify.com/track/1gVgkQFOKa8Wc1HYsJtPdH,https://i.scdn.co/image/ab67616d0000b273fb16b9b69eb891027654bcb1,More Than Words,Extreme
0hB7wksjYkueBMmaLPII7Y,https://open.spotify.com/track/0hB7wksjYkueBMmaLPII7Y,https://i.scdn.co/image/ab67616d0000b2731762c8f3fcaa6b4a95e57235,Hear ~信じあえた証~,Chise Kanna
6zu6Ri44cbzqkGVjVwA0pu,https://open.spotify.com/track/6zu6Ri44cbzqkGVjVwA0pu,https://i.scdn.co/image/ab67616d0000b273064a522a562a91bd82bf2152,カンパニュラ,Yuko Suzuhana
3zqsiBNnHLIxqEZf7MzKvj,https://open.spotify.com/track/3zqsiBNnHLIxqEZf7MzKvj,https://i.scdn.co/image/ab67616d0000b273560ff0ae7a42af8bb29195c1,Avocado,yonige
4OAuvHryIVv4kMDNSLuPt6,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,Red (Taylor's Version),Taylor Swift
7rZ5VNIFZo8nC8XSSCvv7K,https://open.spotify.com/track/7rZ5VNIFZo8nC8XSSCvv7K,https://i.scdn.co/image/ab67616d0000b273fd8926068a7653ec35908f19,Into the Sky,SawanoHiroyuki[nZk]:Tielle
6u6MGAF5TQ0PvQf5rkf5zX,https://open.spotify.com/track/6u6MGAF5TQ0PvQf5rkf5zX,https://i.scdn.co/image/ab67616d0000b27371a1d519da617e05c406a07c,ツキアカリのミチシルベ,Stereopony
3S7HNKPakdwNEBFIVTL6dZ,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,Treacherous (Taylor's Version),Taylor Swift
4QEsDW5ixjmdn3DKuC6RiA,https://open.spotify.com/track/4QEsDW5ixjmdn3DKuC6RiA,https://i.scdn.co/image/ab67616d0000b273feeb111c6b0e3e9920d4f714,道 〜to you all (Album Version),aluto
2XyH85tig60Tixg9Kjou2v,https://open.spotify.com/track/2XyH85tig60Tixg9Kjou2v,https://i.scdn.co/image/ab67616d0000b273eb8a1b9f444e8822334247e5,リボルバー,yonige
6AtZLIzUINvExIUy4QhdjP,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,I Knew You Were Trouble (Taylor's Version),Taylor Swift
4Guc4Epn4ZzeJlfEobL7wi,https://open.spotify.com/track/4Guc4Epn4ZzeJlfEobL7wi,https://i.scdn.co/image/a59b6ec9984bcc55a83a9546094e3f0b577aecee,Yogyakarta,Kla Project
0bhBtXHQX3u6dSAPF59qGx,https://open.spotify.com/track/0bhBtXHQX3u6dSAPF59qGx,https://i.scdn.co/image/ab67616d0000b273bf7c317a63c4f128b8823406,Flume,Bon Iver
3nsfB1vus2qaloUdcBZvDu,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,All Too Well (Taylor's Version),Taylor Swift
0AyXonWilEOcyHKiJABhYA,https://open.spotify.com/track/0AyXonWilEOcyHKiJABhYA,https://i.scdn.co/image/ab67616d0000b273a956f7686e0327e7131a4d9e,永世のクレイドル - PIANO SOLO,Yuko Suzuhana
1HXZ8lfXoMQAHfgLzSsPWP,https://open.spotify.com/track/1HXZ8lfXoMQAHfgLzSsPWP,https://i.scdn.co/image/ab67616d0000b2736910b2c7490dd1bc533ead31,カザニア,Aimi
6l1tdg42J1jd5c0dqg5nr0,https://open.spotify.com/track/6l1tdg42J1jd5c0dqg5nr0,https://i.scdn.co/image/ab67616d0000b273f8ae37cc775d0a3db8c95c9f,Honkai World Diva - Movie Ver.,Mika Kobayashi
231lcr4D706utKev04nqL5,https://open.spotify.com/track/231lcr4D706utKev04nqL5,https://i.scdn.co/image/ab67616d0000b273efe4a53afaa588419267734d,千年の羽 - 崩坏3符华印象曲,Mika Kobayashi
11HNtVNr78MM7hCZzSxL5J,https://open.spotify.com/track/11HNtVNr78MM7hCZzSxL5J,https://i.scdn.co/image/ab67616d0000b273af54a0c7a9b52324da8980d6,泪のムコウ,Stereopony
4Ry4lWNqXcWByoRT7A31DZ,https://open.spotify.com/track/4Ry4lWNqXcWByoRT7A31DZ,https://i.scdn.co/image/ab67616d0000b273f5baa8d0302bad454b4ee670,September Ceria,Vina Panduwinata
3mTEYjm3kIm4YzJ5zxJZjs,https://open.spotify.com/track/3mTEYjm3kIm4YzJ5zxJZjs,https://i.scdn.co/image/ab67616d0000b27359d2079e141301ab89b6cbc5,Flares,The Script
48unUqNPkVVLtYHQLArPN6,https://open.spotify.com/track/48unUqNPkVVLtYHQLArPN6,https://i.scdn.co/image/ab67616d0000b273af54a0c7a9b52324da8980d6,ヒトヒラのハナビラ,Stereopony
3ImFRqAAMKFC2uuG0zNY7c,https://open.spotify.com/track/3ImFRqAAMKFC2uuG0zNY7c,https://i.scdn.co/image/ab67616d0000b2730890a4ffc86ee66096b43e6d,ReSTARTING!!,Aimi
5l0a5ZZW5CEWBbwAJzC9PP,https://open.spotify.com/track/5l0a5ZZW5CEWBbwAJzC9PP,https://i.scdn.co/image/ab67616d0000b273a36c7a0162ad4548c24b7b10,ワンルーム,yonige
5Mu7WviNvT9yJeF79V1HS5,https://open.spotify.com/track/5Mu7WviNvT9yJeF79V1HS5,https://i.scdn.co/image/ab67616d0000b273c5a5b4be2acc36cddc42fb8f,Highway to Hell - Live - 1991,AC/DC
1I6uKSVVYyFq5qaSa6W7Pp,https://open.spotify.com/track/1I6uKSVVYyFq5qaSa6W7Pp,https://i.scdn.co/image/ab67616d0000b2739f3731d75a970106aaebc971,aLIEz,SawanoHiroyuki[nZk]:mizuki
1Z3rT1jGgDypLLBKPLqgSq,https://open.spotify.com/track/1Z3rT1jGgDypLLBKPLqgSq,https://i.scdn.co/image/ab67616d0000b2732b842421442ad714601c95f7,キラクに (feat. AAAMYYY),NABOWA
4dHV4pntVEY62Z3KdrofPX,https://open.spotify.com/track/4dHV4pntVEY62Z3KdrofPX,https://i.scdn.co/image/ab67616d0000b273005ac806737cb0286b950bfa,Sakura,Fariz RM
0voUr8lubIafUVJlauJxYF,https://open.spotify.com/track/0voUr8lubIafUVJlauJxYF,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,Things We Said Today - Remastered 2009,The Beatles
1rfQ2H7UsIrX8MP1gTgCYh,https://open.spotify.com/track/1rfQ2H7UsIrX8MP1gTgCYh,https://i.scdn.co/image/ab67616d0000b273d4bdd35807bf96ce624a680a,We're the Stars,Aimi
2gVhfX2Gy1T9kDuS9azrF7,https://open.spotify.com/track/2gVhfX2Gy1T9kDuS9azrF7,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6,willow,Taylor Swift
3B3eOgLJSqPEA0RfboIQVM,https://open.spotify.com/track/3B3eOgLJSqPEA0RfboIQVM,https://i.scdn.co/image/ab67616d0000b273bf7c317a63c4f128b8823406,Skinny Love,Bon Iver
3GOntVGFceeJIFQw1TmVWJ,https://open.spotify.com/track/3GOntVGFceeJIFQw1TmVWJ,https://i.scdn.co/image/ab67616d0000b273537121e4c5aa2a62c0fbb225,Coils of Light - 2021 Remastered Version,Raychell
4droKDn4442h9GcwlsIZ7x,https://open.spotify.com/track/4droKDn4442h9GcwlsIZ7x,https://i.scdn.co/image/ab67616d0000b273f5baa8d0302bad454b4ee670,Cinta,Vina Panduwinata
4pfrrhvplbJZAIsfosGWQP,https://open.spotify.com/track/4pfrrhvplbJZAIsfosGWQP,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233,the 1,Taylor Swift
4qvlcxBivFZcnj40I8bocT,https://open.spotify.com/track/4qvlcxBivFZcnj40I8bocT,https://i.scdn.co/image/ab67616d0000b27354843172d3e0d943c4aa31df,Africa - Live,TOTO
5YqltLsjdqFtvqE7Nrysvs,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift
5fJz517lST3WI1vYcex7cX,https://open.spotify.com/track/5fJz517lST3WI1vYcex7cX,https://i.scdn.co/image/a59b6ec9984bcc55a83a9546094e3f0b577aecee,Tentang Kita,Kla Project
5uuofsnhsASEgpeP89rI0B,https://open.spotify.com/track/5uuofsnhsASEgpeP89rI0B,https://i.scdn.co/image/ab67616d0000b273b0eb03e15ce8404e4a07c39d,I Still Haven't Found What I'm Looking For - Live From Paris,U2
